企业名称,登录频次,告警频次,告警处理率(%),告警及时率(%),总分(%)
左岸尚海湾一、二期,32,2,100.00,0.00,91.90
昆山裕元新天地广场,4,0,100.00,100.00,87.20
昆山亭林口腔医院,3,0,100.00,100.00,86.40
晨曦中学,3,0,100.00,100.00,86.40
绿地幼儿园,3,0,100.00,100.00,86.40
世茂幼儿园总园,2,0,100.00,100.00,85.60
华复精密,4,10,100.00,100.00,84.20
建滔裕景园,32,12,100.00,0.00,83.30
群策光电,7,2,100.00,0.00,81.50
外滩印象花园,0,0,100.00,100.00,80.00
夏驾幼儿园,0,0,100.00,100.00,80.00
江上雅苑,0,0,100.00,100.00,80.00
泰瑞美精密机器（昆山）有限公司（东阳精密分厂）,0,0,100.00,100.00,80.00
栈泾菊苑,0,0,100.00,100.00,80.00
乐康幼儿园,0,0,100.00,100.00,80.00
中华园小学,0,1,100.00,100.00,79.70
中天大厦,22,41,100.00,68.29,76.85
东部新城幼儿园（阳光总部）,1,6,100.00,0.00,75.50
原鼎国际,77,135,100.00,95.56,74.89
昇悦居,94,32,100.00,21.88,73.73
创业大厦,0,1,100.00,0.00,72.20
兵希小学,0,1,100.00,0.00,72.20
琨华国际广场,0,1,100.00,0.00,72.20
夏驾河小学,0,1,100.00,0.00,72.20
翡翠名都,3,11,100.00,9.09,71.44
景悦澜庭,7,15,100.00,0.00,71.10
玉澜花园,0,6,100.00,0.00,70.70
金鹰商贸,49,2020,100.00,74.75,69.69
伟时电子股份有限公司,0,5,80.00,0.00,69.50
震川小学,0,8,75.00,0.00,68.22
和兴东城,0,2,50.00,0.00,68.15
港龙财智国际,58,108,100.00,68.52,68.13
公元壹号上东区,39,148,100.00,64.86,67.22
珠江菜场,0,1,0.00,0.00,64.70
兵希幼儿园,0,2,0.00,0.00,64.40
尚东国际花苑,27,44,100.00,20.45,64.21
昆山市西郊置业有限公司开发区玉龙市场,7,38,97.37,21.62,61.03
中南世纪城四期,75,506,99.21,37.65,60.21
昆山昆城景苑,27,215,100.00,34.88,59.72
公元壹号一期,32,160,100.00,23.13,56.78
公元壹号橡树园,39,76,100.00,18.42,56.50
光洋化学应材科技(昆山)有限公司,26,311,99.04,15.58,54.66
江苏联鑫电子工业有限公司,2,15,0.00,0.00,54.60
青阳港幼儿园,0,13,30.77,0.00,54.05
金鹰尚美酒店,0,127,100.00,81.89,51.47
南亚宿舍,13,1838,99.95,23.41,51.24
中星城际广场,0,28,89.29,4.00,49.92
中航城,6,142,97.89,29.50,46.65
昆山开发区中航城商业区,0,20,0.00,0.00,46.00
金融街行政大楼,13,494,100.00,1.01,45.65
金鹰国际公馆,10,270,95.93,14.29,45.55
世贸蝶湖湾,11,564,95.92,9.06,45.05
珠江名苑,10,135,100.00,5.93,44.48
时代大厦,10,112,100.00,3.57,43.89
华敏世家花园,7,322,100.00,2.17,41.14
中南世纪城一/二/三期,0,844,99.64,35.55,39.80
昆山朗峰御花园,0,57,82.46,0.00,31.79
中冶昆庭,17,124,32.26,0.00,31.66
昆山山姆超市会员店,0,167,94.61,0.00,29.65
栈泾竹苑,0,77,71.43,0.00,24.53
象屿两岸贸易中心三期,0,130,58.46,0.00,20.62
昆山亿丰装饰城,1,48,6.25,0.00,19.56
象屿两岸贸易中心四期,0,166,45.18,2.67,17.96
昆山臻望花园,1,61,3.28,0.00,15.90
珠江御景花园,0,72,18.06,0.00,12.31
